00AR               20211111                                                                                   
0601ARA0N       20220101000720100000005000 0000000030001193   
0601ARA0N       20220101000725100000005000 0000000030001198   
0601ARA0N       20220101000730100000005000 0000000030001204   
0601ARA0N       20220101000735100000005000 0000000030001209   
0601ARA0N       20220101000740100000005000 0000000030001213   
0601ARA0N       20220101000745100000005000 0000000030001217   
0601ARA0N       20220101000750100000005000 0000000030001224   
0601ARA0N       20220101000755100000005000 0000000030001228   
0601ARA0N       20220101000760100000005000 0000000030001232   
0601ARA0N       20220101000765100000005000 0000000030001237   
0601ARA0N       20220101000770100000005000 0000000030001241   
0601ARA0N       20220101000775100000005000 0000000030001249   
0601ARA0N       20220101000780100000005000 0000000030001254   
0601ARA0N       20220101000785100000005000 0000000030001260   
0601ARA0N       20220101000790100000005000 0000000030001266   
0601ARA0N       20220101000795100000005000 0000000030001272   
0601ARA0N       20220101000800100000005000 0000000030001279   
0601ARA0N       20220101000805100000005000 0000000030001285   
0601ARA0N       20220101000810100000005000 0000000030001290   
0601ARA0N       20220101000815100000005000 0000000030001296   
0601ARA0N       20220101000820100000005000 0000000030001301   
0601ARA0N       20220101000825100000005000 0000000030001309   
0601ARA0N       20220101000830100000005000 0000000030001314   
0601ARA0N       20220101000835100000005000 0000000030001319   
0601ARA0N       20220101000840100000005000 0000000030001325   
0601ARA0N       20220101000845100000005000 0000000030001332   
0601ARA0N       20220101000850100000005000 0000000030001337   
0601ARA0N       20220101000855100000005000 0000000030001342   
0601ARA0N       20220101000860100000005000 0000000030001348   
0601ARA0N       20220101000865100000005000 0000000030001353   
0601ARA0N       20220101000870100000005000 0000000030001359   
0601ARA0N       20220101000875100000005000 0000000030001363   
0601ARA0N       20220101000880100000005000 0000000030001368   
0601ARA0N       20220101000885100000005000 0000000030001372   
0601ARA0N       20220101000890100000005000 0000000030001377   
0601ARA0N       20220101000895100000005000 0000000030001383   
0601ARA0N       20220101000900100000005000 0000000030001388   
0601ARA0N       20220101000905100000005000 0000000030001392   
0601ARA0N       20220101000910100000005000 0000000030001397   
0601ARA0N       20220101000915100000005000 0000000030001401   
0601ARA0N       20220101000920100000005000 0000000030001407   
0601ARA0N       20220101000925100000005000 0000000030001412   
0601ARA0N       20220101000930100000005000 0000000030001417   
0601ARA0N       20220101000935100000005000 0000000030001421   
0601ARA0N       20220101000940100000005000 0000000030001425   
0601ARA0N       20220101000945100000005000 0000000030001431   
0601ARA0N       20220101000950100000005000 0000000030001435   
0601ARA0N       20220101000955100000005000 0000000030001439   
0601ARA0N       20220101000960100000005000 0000000030001443   
0601ARA0N       20220101000965100000005000 0000000030001449   
0601ARA0N       20220101000970100000005000 0000000030001453   
0601ARA0N       20220101000975100000005000 0000000030001457   
0601ARA0N       20220101000980100000005000 0000000030001461   
0601ARA0N       20220101000985100000005000 0000000030001464   
0601ARA0N       20220101000990100000005000 0000000030001470   
0601ARA0N       20220101000995100000005000 0000000030001473   
0601ARA0N       20220101001000100000005000 0000000030001477   
0601ARA0N       20220101001005100000005000 0000000030001481   
0601ARA0N       20220101001010100000005000 0000000030001484   
0601ARA0N       20220101001015100000005000 0000000030001490   
0601ARA0N       20220101001020100000005000 0000000030001493   
0601ARA0N       20220101001025100000005000 0000000030001497   
0601ARA0N       20220101001030100000005000 0000000030001500   
0601ARA0N       20220101001035100000005000 0000000030001504   
0601ARA0N       20220101001040100000005000 0000000030001509   
0601ARA0N       20220101001045100000005000 0000000030001513   
0601ARA0N       20220101001050100000005000 0000000030001516   
0601ARA0N       20220101001055100000005000 0000000030001519   
0601ARA0N       20220101001060100000005000 0000000030001524   
0601ARA0N       20220101001065100000005000 0000000030001527   
0601ARA0N       20220101001070100000005000 0000000030001530   
0601ARA0N       20220101001075100000005000 0000000030001534   
0601ARA0N       20220101001080100000005000 0000000030001537   
0601ARA0N       20220101001085100000005000 0000000030001542   
0601ARA0N       20220101001090100000005000 0000000030001546   
0601ARA0N       20220101001095100000005000 0000000030001550   
0601ARA0N       20220101001100100000005000 0000000030001554   
0601ARA0N       20220101001105100000005000 0000000030001558   
0601ARA0N       20220101001110100000005000 0000000030001563   
0601ARA0N       20220101001115100000005000 0000000030001567   
0601ARA0N       20220101001120100000005000 0000000030001571   
0601ARA0N       20220101001125100000005000 0000000030001575   
0601ARA0N       20220101001130100000005000 0000000030001578   
0601ARA0N       20220101001135100000005000 0000000030001583   
0601ARA0N       20220101001140100000005000 0000000030001588   
0601ARA0N       20220101001145100000005000 0000000030001591   
0601ARA0N       20220101001150100000005000 0000000030001595   
0601ARA0N       20220101001155100000005000 0000000030001598   
0601ARA0N       20220101001160100000005000 0000000030001604   
0601ARA0N       20220101001165100000005000 0000000030001607   
0601ARA0N       20220101001170100000005000 0000000030001610   
0601ARA0N       20220101001175100000005000 0000000030001614   
0601ARA0N       20220101001180100000005000 0000000030001618   
0601ARA0N       20220101001185100000005000 0000000030001622   
0601ARA0N       20220101001190100000005000 0000000030001626   
0601ARA0N       20220101001195100000005000 0000000030001629   
0601ARA0N       20220101001200100000005000 0000000030001632   
0601ARA0N       20220101001205100000005000 0000000030001637   
0601ARA0N       20220101001210100000005000 0000000030001640   
0601ARA0N       20220101001215100000005000 0000000030001643   
0601ARA0N       20220101001220100000005000 0000000030001646   
0601ARA0N       20220101001225100000005000 0000000030001649   
0601ARA0N       20220101001230100000005000 0000000030001654   
0601ARA0N       20220101001235100000005000 0000000030001658   
0601ARA0N       20220101001240100000005000 0000000030001661   
0601ARA0N       20220101001245100000005000 0000000030001666   
0601ARA0N       20220101001250100000005000 0000000030001669   
0601ARA0N       20220101001255100000005000 0000000030001672   
0601ARA0N       20220101001260100000005000 0000000030001677   
0601ARA0N       20220101001265100000005000 0000000030001681   
