00GE               20211117                                                                                   
0601GEA3N       20220101007775005000020000 0300000000003480   
0601GEA3N       20220101007795005000020000 0300000000003481   
0601GEA3N       20220101007815005000020000 0300000000003483   
0601GEA3N       20220101007835005000020000 0300000000003485   
0601GEA3N       20220101007855005000020000 0300000000003487   
0601GEA3N       20220101007875005000020000 0300000000003488   
0601GEA3N       20220101007895005000020000 0300000000003490   
0601GEA3N       20220101007915005000020000 0300000000003491   
0601GEA3N       20220101007935005000020000 0300000000003493   
0601GEA3N       20220101007955005000020000 0300000000003495   
0601GEA3N       20220101007975005000020000 0300000000003496   
0601GEA3N       20220101007995005000020000 0300000000003498   
0601GEA3N       20220101008015005000020000 0300000000003499   
0601GEA3N       20220101008035005000020000 0300000000003501   
0601GEA3N       20220101008055005000020000 0300000000003503   
0601GEA3N       20220101008075005000020000 0300000000003504   
0601GEA3N       20220101008095005000020000 0300000000003506   
0601GEA3N       20220101008115005000020000 0300000000003507   
0601GEA3N       20220101008135005000020000 0300000000003509   
0601GEA3N       20220101008155005000020000 0300000000003510   
0601GEA3N       20220101008175005000020000 0300000000003512   
0601GEA3N       20220101008195005000020000 0300000000003514   
0601GEA3N       20220101008215005000020000 0300000000003515   
0601GEA3N       20220101008235005000020000 0300000000003517   
0601GEA3N       20220101008255005000020000 0300000000003518   
0601GEA3N       20220101008275005000020000 0300000000003520   
0601GEA3N       20220101008295005000020000 0300000000003521   
0601GEA3N       20220101008315005000020000 0300000000003523   
0601GEA3N       20220101008335005000020000 0300000000003524   
0601GEA3N       20220101008355005000020000 0300000000003526   
0601GEA3N       20220101008375005000020000 0300000000003527   
0601GEA3N       20220101008395005000020000 0300000000003529   
0601GEA3N       20220101008415005000020000 0300000000003530   
0601GEA3N       20220101008435005000020000 0300000000003531   
0601GEA3N       20220101008455005000020000 0300000000003533   
0601GEA3N       20220101008475005000020000 0300000000003534   
0601GEA3N       20220101008495005000020000 0300000000003536   
0601GEA3N       20220101008515005000020000 0300000000003537   
0601GEA3N       20220101008535005000020000 0300000000003539   
0601GEA3N       20220101008555005000020000 0300000000003540   
0601GEA3N       20220101008575005000020000 0300000000003541   
0601GEA3N       20220101008595005000020000 0300000000003543   
0601GEA3N       20220101008615005000020000 0300000000003544   
0601GEA3N       20220101008635005000020000 0300000000003545   
0601GEA3N       20220101008655005000020000 0300000000003547   
0601GEA3N       20220101008675005000020000 0300000000003548   
0601GEA3N       20220101008695005000020000 0300000000003550   
0601GEA3N       20220101008715005000020000 0300000000003551   
0601GEA3N       20220101008735005000020000 0300000000003552   
0601GEA3N       20220101008755005000020000 0300000000003554   
0601GEA3N       20220101008775005000020000 0300000000003555   
0601GEA3N       20220101008795005000020000 0300000000003556   
0601GEA3N       20220101008815005000020000 0300000000003558   
0601GEA3N       20220101008835005000020000 0300000000003559   
0601GEA3N       20220101008855005000020000 0300000000003560   
0601GEA3N       20220101008875005000020000 0300000000003561   
0601GEA3N       20220101008895005000020000 0300000000003563   
0601GEA3N       20220101008915005000020000 0300000000003564   
0601GEA3N       20220101008935005000020000 0300000000003565   
0601GEA3N       20220101008955005000020000 0300000000003567   
0601GEA3N       20220101008975005000020000 0300000000003568   
0601GEA3N       20220101008995005000020000 0300000000003569   
0601GEA3N       20220101009015005000020000 0300000000003570   
0601GEA3N       20220101009035005000020000 0300000000003572   
0601GEA3N       20220101009055005000020000 0300000000003573   
0601GEA3N       20220101009075005000020000 0300000000003574   
0601GEA3N       20220101009095005000020000 0300000000003575   
0601GEA3N       20220101009115005000020000 0300000000003577   
0601GEA3N       20220101009135005000020000 0300000000003578   
0601GEA3N       20220101009155005000020000 0300000000003579   
0601GEA3N       20220101009175005000020000 0300000000003580   
0601GEA3N       20220101009195005000020000 0300000000003582   
0601GEA3N       20220101009215005000020000 0300000000003583   
0601GEA3N       20220101009235005000020000 0300000000003584   
0601GEA3N       20220101009255005000020000 0300000000003585   
0601GEA3N       20220101009275005000020000 0300000000003586   
0601GEA3N       20220101009295005000020000 0300000000003588   
0601GEA3N       20220101009315005000020000 0300000000003589   
0601GEA3N       20220101009335005000020000 0300000000003590   
0601GEA3N       20220101009355005000020000 0300000000003591   
0601GEA3N       20220101009375005000020000 0300000000003592   
0601GEA3N       20220101009395005000020000 0300000000003593   
0601GEA3N       20220101009415005000020000 0300000000003595   
0601GEA3N       20220101009435005000020000 0300000000003596   
0601GEA3N       20220101009455005000020000 0300000000003597   
0601GEA3N       20220101009475005000020000 0300000000003598   
0601GEA3N       20220101009495005000020000 0300000000003599   
0601GEA3N       20220101009515005000020000 0300000000003600   
0601GEA3N       20220101009535005000020000 0300000000003601   
0601GEA3N       20220101009555005000020000 0300000000003603   
0601GEA3N       20220101009575005000020000 0300000000003604   
0601GEA3N       20220101009595005000020000 0300000000003605   
0601GEA3N       20220101009615005000020000 0300000000003606   
0601GEA3N       20220101009635005000020000 0300000000003607   
0601GEA3N       20220101009655005000020000 0300000000003608   
0601GEA3N       20220101009675005000020000 0300000000003609   
0601GEA3N       20220101009695005000020000 0300000000003610   
0601GEA3N       20220101009715005000020000 0300000000003611   
0601GEA3N       20220101009735005000020000 0300000000003612   
0601GEA3N       20220101009755005000020000 0300000000003614   
0601GEA3N       20220101009775005000020000 0300000000003615   
0601GEA3N       20220101009795005000020000 0300000000003616   
0601GEA3N       20220101009815005000020000 0300000000003617   
0601GEA3N       20220101009835005000020000 0300000000003618   
0601GEA3N       20220101009855005000020000 0300000000003619   
0601GEA3N       20220101009875005000020000 0300000000003620   
0601GEA3N       20220101009895005000020000 0300000000003621   
0601GEA3N       20220101009915005000020000 0300000000003622   
0601GEA3N       20220101009935005000020000 0300000000003623   
0601GEA3N       20220101009955005000020000 0300000000003624   
0601GEA3N       20220101009975005000020000 0300000000003625   
0601GEA3N       20220101009995005000020000 0300000000003626   
0601GEA3N       20220101010015005999999999 0300000000003627   
0601GEA4N       20220101000000100000520000 0400000000000000   
0601GEA4N       20220101000520005000005000 0400000000000004   
0601GEA4N       20220101000525005000005000 0400000000000005   
0601GEA4N       20220101000530005000005000 0400000000000006   
0601GEA4N       20220101000535005000005000 0400000000000006   
0601GEA4N       20220101000540005000005000 0400000000000007   
0601GEA4N       20220101000545005000005000 0400000000000007   
0601GEA4N       20220101000550005000005000 0400000000000008   
0601GEA4N       20220101000555005000005000 0400000000000008   
0601GEA4N       20220101000560005000005000 0400000000000009   
0601GEA4N       20220101000565005000005000 0400000000000009   
0601GEA4N       20220101000570005000005000 0400000000000010   
0601GEA4N       20220101000575005000005000 0400000000000010   
0601GEA4N       20220101000580005000005000 0400000000000011   
0601GEA4N       20220101000585005000005000 0400000000000011   
0601GEA4N       20220101000590005000005000 0400000000000012   
0601GEA4N       20220101000595005000005000 0400000000000012   
0601GEA4N       20220101000600005000005000 0400000000000013   
0601GEA4N       20220101000605005000005000 0400000000000013   
0601GEA4N       20220101000610005000005000 0400000000000013   
0601GEA4N       20220101000615005000005000 0400000000000014   
0601GEA4N       20220101000620005000005000 0400000000000014   
0601GEA4N       20220101000625005000005000 0400000000000015   
0601GEA4N       20220101000630005000005000 0400000000000015   
0601GEA4N       20220101000635005000005000 0400000000000016   
0601GEA4N       20220101000640005000005000 0400000000000016   
0601GEA4N       20220101000645005000005000 0400000000000016   
0601GEA4N       20220101000650005000005000 0400000000000017   
0601GEA4N       20220101000655005000005000 0400000000000017   
0601GEA4N       20220101000660005000005000 0400000000000017   
0601GEA4N       20220101000665005000005000 0400000000000018   
0601GEA4N       20220101000670005000005000 0400000000000018   
0601GEA4N       20220101000675005000005000 0400000000000019   
0601GEA4N       20220101000680005000005000 0400000000000019   
0601GEA4N       20220101000685005000005000 0400000000000019   
0601GEA4N       20220101000690005000005000 0400000000000020   
0601GEA4N       20220101000695005000005000 0400000000000020   
0601GEA4N       20220101000700005000005000 0400000000000021   
0601GEA4N       20220101000705005000005000 0400000000000021   
0601GEA4N       20220101000710005000005000 0400000000000021   
0601GEA4N       20220101000715005000005000 0400000000000022   
0601GEA4N       20220101000720005000005000 0400000000000022   
0601GEA4N       20220101000725005000005000 0400000000000022   
0601GEA4N       20220101000730005000005000 0400000000000023   
0601GEA4N       20220101000735005000005000 0400000000000023   
0601GEA4N       20220101000740005000005000 0400000000000023   
0601GEA4N       20220101000745005000005000 0400000000000024   
0601GEA4N       20220101000750005000005000 0400000000000024   
0601GEA4N       20220101000755005000005000 0400000000000026   
0601GEA4N       20220101000760005000005000 0400000000000027   
0601GEA4N       20220101000765005000005000 0400000000000028   
0601GEA4N       20220101000770005000005000 0400000000000029   
0601GEA4N       20220101000775005000005000 0400000000000031   
0601GEA4N       20220101000780005000005000 0400000000000032   
0601GEA4N       20220101000785005000005000 0400000000000033   
0601GEA4N       20220101000790005000005000 0400000000000034   
0601GEA4N       20220101000795005000005000 0400000000000038   
0601GEA4N       20220101000800005000005000 0400000000000046   
0601GEA4N       20220101000805005000005000 0400000000000055   
0601GEA4N       20220101000810005000005000 0400000000000064   
0601GEA4N       20220101000815005000005000 0400000000000072   
0601GEA4N       20220101000820005000005000 0400000000000080   
0601GEA4N       20220101000825005000005000 0400000000000088   
0601GEA4N       20220101000830005000005000 0400000000000097   
0601GEA4N       20220101000835005000005000 0400000000000106   
0601GEA4N       20220101000840005000005000 0400000000000114   
0601GEA4N       20220101000845005000005000 0400000000000123   
0601GEA4N       20220101000850005000005000 0400000000000132   
0601GEA4N       20220101000855005000005000 0400000000000141   
0601GEA4N       20220101000860005000005000 0400000000000151   
0601GEA4N       20220101000865005000005000 0400000000000160   
0601GEA4N       20220101000870005000005000 0400000000000169   
0601GEA4N       20220101000875005000005000 0400000000000179   
0601GEA4N       20220101000880005000005000 0400000000000189   
0601GEA4N       20220101000885005000005000 0400000000000198   
0601GEA4N       20220101000890005000005000 0400000000000208   
0601GEA4N       20220101000895005000005000 0400000000000218   
0601GEA4N       20220101000900005000005000 0400000000000229   
0601GEA4N       20220101000905005000005000 0400000000000239   
0601GEA4N       20220101000910005000005000 0400000000000249   
0601GEA4N       20220101000915005000005000 0400000000000259   
0601GEA4N       20220101000920005000005000 0400000000000269   
0601GEA4N       20220101000925005000005000 0400000000000278   
0601GEA4N       20220101000930005000005000 0400000000000288   
0601GEA4N       20220101000935005000005000 0400000000000297   
0601GEA4N       20220101000940005000005000 0400000000000307   
0601GEA4N       20220101000945005000005000 0400000000000317   
0601GEA4N       20220101000950005000005000 0400000000000327   
0601GEA4N       20220101000955005000005000 0400000000000337   
0601GEA4N       20220101000960005000005000 0400000000000346   
0601GEA4N       20220101000965005000005000 0400000000000356   
0601GEA4N       20220101000970005000005000 0400000000000366   
0601GEA4N       20220101000975005000005000 0400000000000375   
0601GEA4N       20220101000980005000005000 0400000000000385   
0601GEA4N       20220101000985005000005000 0400000000000395   
0601GEA4N       20220101000990005000005000 0400000000000405   
0601GEA4N       20220101000995005000005000 0400000000000415   
0601GEA4N       20220101001000005000005000 0400000000000424   
0601GEA4N       20220101001005005000005000 0400000000000434   
0601GEA4N       20220101001010005000005000 0400000000000444   
0601GEA4N       20220101001015005000005000 0400000000000453   
0601GEA4N       20220101001020005000005000 0400000000000462   
0601GEA4N       20220101001025005000005000 0400000000000472   
0601GEA4N       20220101001030005000005000 0400000000000482   
0601GEA4N       20220101001035005000005000 0400000000000491   
0601GEA4N       20220101001040005000005000 0400000000000500   
0601GEA4N       20220101001045005000005000 0400000000000510   
0601GEA4N       20220101001050005000005000 0400000000000519   
0601GEA4N       20220101001055005000005000 0400000000000528   
0601GEA4N       20220101001060005000005000 0400000000000538   
0601GEA4N       20220101001065005000005000 0400000000000548   
0601GEA4N       20220101001070005000005000 0400000000000558   
0601GEA4N       20220101001075005000005000 0400000000000568   
0601GEA4N       20220101001080005000005000 0400000000000579   
0601GEA4N       20220101001085005000005000 0400000000000589   
0601GEA4N       20220101001090005000005000 0400000000000599   
0601GEA4N       20220101001095005000005000 0400000000000609   
0601GEA4N       20220101001100005000005000 0400000000000619   
0601GEA4N       20220101001105005000005000 0400000000000629   
0601GEA4N       20220101001110005000005000 0400000000000638   
0601GEA4N       20220101001115005000005000 0400000000000648   
0601GEA4N       20220101001120005000005000 0400000000000658   
0601GEA4N       20220101001125005000005000 0400000000000667   
0601GEA4N       20220101001130005000005000 0400000000000677   
0601GEA4N       20220101001135005000005000 0400000000000687   
0601GEA4N       20220101001140005000005000 0400000000000696   
0601GEA4N       20220101001145005000005000 0400000000000705   
0601GEA4N       20220101001150005000005000 0400000000000715   
0601GEA4N       20220101001155005000005000 0400000000000724   
0601GEA4N       20220101001160005000005000 0400000000000733   
0601GEA4N       20220101001165005000005000 0400000000000742   
0601GEA4N       20220101001170005000005000 0400000000000751   
0601GEA4N       20220101001175005000005000 0400000000000760   
0601GEA4N       20220101001180005000005000 0400000000000769   
0601GEA4N       20220101001185005000005000 0400000000000778   
0601GEA4N       20220101001190005000005000 0400000000000786   
0601GEA4N       20220101001195005000005000 0400000000000795   
0601GEA4N       20220101001200005000005000 0400000000000804   
0601GEA4N       20220101001205005000005000 0400000000000812   
0601GEA4N       20220101001210005000005000 0400000000000820   
0601GEA4N       20220101001215005000005000 0400000000000829   
0601GEA4N       20220101001220005000005000 0400000000000837   
0601GEA4N       20220101001225005000005000 0400000000000845   
0601GEA4N       20220101001230005000005000 0400000000000853   
0601GEA4N       20220101001235005000005000 0400000000000862   
0601GEA4N       20220101001240005000005000 0400000000000870   
0601GEA4N       20220101001245005000005000 0400000000000878   
0601GEA4N       20220101001250005000005000 0400000000000886   
0601GEA4N       20220101001255005000005000 0400000000000894   
0601GEA4N       20220101001260005000005000 0400000000000902   
0601GEA4N       20220101001265005000005000 0400000000000910   
0601GEA4N       20220101001270005000005000 0400000000000918   
0601GEA4N       20220101001275005000005000 0400000000000926   
0601GEA4N       20220101001280005000005000 0400000000000933   
0601GEA4N       20220101001285005000005000 0400000000000941   
0601GEA4N       20220101001290005000005000 0400000000000949   
0601GEA4N       20220101001295005000005000 0400000000000956   
0601GEA4N       20220101001300005000005000 0400000000000963   
0601GEA4N       20220101001305005000005000 0400000000000971   
0601GEA4N       20220101001310005000005000 0400000000000978   
0601GEA4N       20220101001315005000005000 0400000000000986   
0601GEA4N       20220101001320005000005000 0400000000000993   
0601GEA4N       20220101001325005000005000 0400000000001000   
0601GEA4N       20220101001330005000005000 0400000000001007   
0601GEA4N       20220101001335005000005000 0400000000001015   
0601GEA4N       20220101001340005000005000 0400000000001022   
0601GEA4N       20220101001345005000005000 0400000000001029   
0601GEA4N       20220101001350005000005000 0400000000001037   
0601GEA4N       20220101001355005000005000 0400000000001044   
0601GEA4N       20220101001360005000005000 0400000000001052   
0601GEA4N       20220101001365005000005000 0400000000001060   
0601GEA4N       20220101001370005000005000 0400000000001067   
0601GEA4N       20220101001375005000005000 0400000000001075   
0601GEA4N       20220101001380005000005000 0400000000001083   
0601GEA4N       20220101001385005000005000 0400000000001090   
0601GEA4N       20220101001390005000005000 0400000000001097   
0601GEA4N       20220101001395005000005000 0400000000001105   
0601GEA4N       20220101001400005000005000 0400000000001112   
0601GEA4N       20220101001405005000005000 0400000000001120   
0601GEA4N       20220101001410005000005000 0400000000001127   
0601GEA4N       20220101001415005000005000 0400000000001134   
0601GEA4N       20220101001420005000005000 0400000000001141   
0601GEA4N       20220101001425005000005000 0400000000001148   
0601GEA4N       20220101001430005000005000 0400000000001156   
0601GEA4N       20220101001435005000005000 0400000000001163   
0601GEA4N       20220101001440005000005000 0400000000001169   
0601GEA4N       20220101001445005000005000 0400000000001177   
0601GEA4N       20220101001450005000005000 0400000000001183   
0601GEA4N       20220101001455005000005000 0400000000001190   
0601GEA4N       20220101001460005000005000 0400000000001197   
0601GEA4N       20220101001465005000005000 0400000000001204   
0601GEA4N       20220101001470005000005000 0400000000001210   
0601GEA4N       20220101001475005000005000 0400000000001217   
0601GEA4N       20220101001480005000005000 0400000000001224   
0601GEA4N       20220101001485005000005000 0400000000001230   
0601GEA4N       20220101001490005000005000 0400000000001237   
0601GEA4N       20220101001495005000005000 0400000000001243   
0601GEA4N       20220101001500005000005000 0400000000001250   
0601GEA4N       20220101001505005000005000 0400000000001256   
0601GEA4N       20220101001510005000005000 0400000000001262   
0601GEA4N       20220101001515005000005000 0400000000001269   
0601GEA4N       20220101001520005000005000 0400000000001275   
0601GEA4N       20220101001525005000005000 0400000000001281   
0601GEA4N       20220101001530005000005000 0400000000001287   
0601GEA4N       20220101001535005000005000 0400000000001294   
0601GEA4N       20220101001540005000005000 0400000000001300   
0601GEA4N       20220101001545005000005000 0400000000001306   
0601GEA4N       20220101001550005000005000 0400000000001312   
0601GEA4N       20220101001555005000005000 0400000000001318   
0601GEA4N       20220101001560005000005000 0400000000001324   
0601GEA4N       20220101001565005000005000 0400000000001329   
0601GEA4N       20220101001570005000005000 0400000000001336   
0601GEA4N       20220101001575005000005000 0400000000001341   
0601GEA4N       20220101001580005000005000 0400000000001347   
0601GEA4N       20220101001585005000005000 0400000000001353   
0601GEA4N       20220101001590005000005000 0400000000001359   
0601GEA4N       20220101001595005000005000 0400000000001364   
0601GEA4N       20220101001600005000005000 0400000000001370   
0601GEA4N       20220101001605005000005000 0400000000001376   
0601GEA4N       20220101001610005000005000 0400000000001381   
0601GEA4N       20220101001615005000005000 0400000000001387   
0601GEA4N       20220101001620005000005000 0400000000001392   
0601GEA4N       20220101001625005000005000 0400000000001398   
0601GEA4N       20220101001630005000005000 0400000000001403   
0601GEA4N       20220101001635005000005000 0400000000001409   
0601GEA4N       20220101001640005000005000 0400000000001414   
0601GEA4N       20220101001645005000005000 0400000000001420   
0601GEA4N       20220101001650005000005000 0400000000001425   
0601GEA4N       20220101001655005000005000 0400000000001431   
0601GEA4N       20220101001660005000005000 0400000000001436   
0601GEA4N       20220101001665005000005000 0400000000001443   
0601GEA4N       20220101001670005000005000 0400000000001448   
0601GEA4N       20220101001675005000005000 0400000000001454   
0601GEA4N       20220101001680005000005000 0400000000001460   
0601GEA4N       20220101001685005000005000 0400000000001465   
0601GEA4N       20220101001690005000005000 0400000000001471   
0601GEA4N       20220101001695005000005000 0400000000001477   
0601GEA4N       20220101001700005000005000 0400000000001482   
0601GEA4N       20220101001705005000005000 0400000000001488   
0601GEA4N       20220101001710005000005000 0400000000001493   
0601GEA4N       20220101001715005000005000 0400000000001499   
0601GEA4N       20220101001720005000005000 0400000000001504   
0601GEA4N       20220101001725005000005000 0400000000001510   
0601GEA4N       20220101001730005000005000 0400000000001515   
0601GEA4N       20220101001735005000005000 0400000000001520   
0601GEA4N       20220101001740005000005000 0400000000001526   
0601GEA4N       20220101001745005000005000 0400000000001531   
0601GEA4N       20220101001750005000005000 0400000000001536   
0601GEA4N       20220101001755005000005000 0400000000001542   
0601GEA4N       20220101001760005000005000 0400000000001547   
0601GEA4N       20220101001765005000005000 0400000000001552   
0601GEA4N       20220101001770005000005000 0400000000001557   
0601GEA4N       20220101001775005000005000 0400000000001562   
0601GEA4N       20220101001780005000005000 0400000000001567   
0601GEA4N       20220101001785005000005000 0400000000001573   
0601GEA4N       20220101001790005000005000 0400000000001578   
0601GEA4N       20220101001795005000005000 0400000000001583   
0601GEA4N       20220101001800005000005000 0400000000001588   
0601GEA4N       20220101001805005000005000 0400000000001594   
0601GEA4N       20220101001810005000005000 0400000000001599   
0601GEA4N       20220101001815005000005000 0400000000001604   
0601GEA4N       20220101001820005000005000 0400000000001609   
0601GEA4N       20220101001825005000005000 0400000000001614   
0601GEA4N       20220101001830005000005000 0400000000001619   
0601GEA4N       20220101001835005000005000 0400000000001624   
0601GEA4N       20220101001840005000005000 0400000000001629   
0601GEA4N       20220101001845005000005000 0400000000001634   
0601GEA4N       20220101001850005000005000 0400000000001639   
0601GEA4N       20220101001855005000005000 0400000000001644   
0601GEA4N       20220101001860005000005000 0400000000001648   
0601GEA4N       20220101001865005000005000 0400000000001653   
0601GEA4N       20220101001870005000005000 0400000000001658   
0601GEA4N       20220101001875005000005000 0400000000001663   
0601GEA4N       20220101001880005000005000 0400000000001668   
0601GEA4N       20220101001885005000005000 0400000000001672   
0601GEA4N       20220101001890005000005000 0400000000001677   
0601GEA4N       20220101001895005000005000 0400000000001682   
0601GEA4N       20220101001900005000005000 0400000000001686   
0601GEA4N       20220101001905005000005000 0400000000001691   
0601GEA4N       20220101001910005000005000 0400000000001695   
0601GEA4N       20220101001915005000005000 0400000000001700   
0601GEA4N       20220101001920005000005000 0400000000001705   
0601GEA4N       20220101001925005000005000 0400000000001709   
0601GEA4N       20220101001930005000005000 0400000000001714   
0601GEA4N       20220101001935005000005000 0400000000001718   
0601GEA4N       20220101001940005000005000 0400000000001722   
0601GEA4N       20220101001945005000005000 0400000000001727   
0601GEA4N       20220101001950005000005000 0400000000001731   
0601GEA4N       20220101001955005000005000 0400000000001736   
0601GEA4N       20220101001960005000005000 0400000000001740   
0601GEA4N       20220101001965005000010000 0400000000001747   
0601GEA4N       20220101001975005000010000 0400000000001755   
0601GEA4N       20220101001985005000010000 0400000000001764   
0601GEA4N       20220101001995005000010000 0400000000001772   
0601GEA4N       20220101002005005000010000 0400000000001780   
0601GEA4N       20220101002015005000010000 0400000000001789   
0601GEA4N       20220101002025005000010000 0400000000001797   
0601GEA4N       20220101002035005000010000 0400000000001805   
0601GEA4N       20220101002045005000010000 0400000000001814   
0601GEA4N       20220101002055005000010000 0400000000001823   
0601GEA4N       20220101002065005000010000 0400000000001832   
0601GEA4N       20220101002075005000010000 0400000000001841   
0601GEA4N       20220101002085005000010000 0400000000001849   
0601GEA4N       20220101002095005000010000 0400000000001858   
0601GEA4N       20220101002105005000010000 0400000000001866   
0601GEA4N       20220101002115005000010000 0400000000001875   
0601GEA4N       20220101002125005000010000 0400000000001883   
0601GEA4N       20220101002135005000010000 0400000000001891   
0601GEA4N       20220101002145005000010000 0400000000001899   
0601GEA4N       20220101002155005000010000 0400000000001908   
0601GEA4N       20220101002165005000010000 0400000000001916   
0601GEA4N       20220101002175005000010000 0400000000001924   
0601GEA4N       20220101002185005000010000 0400000000001932   
0601GEA4N       20220101002195005000010000 0400000000001940   
0601GEA4N       20220101002205005000010000 0400000000001948   
0601GEA4N       20220101002215005000010000 0400000000001957   
0601GEA4N       20220101002225005000010000 0400000000001964   
0601GEA4N       20220101002235005000010000 0400000000001972   
0601GEA4N       20220101002245005000010000 0400000000001980   
0601GEA4N       20220101002255005000010000 0400000000001988   
0601GEA4N       20220101002265005000010000 0400000000001995   
0601GEA4N       20220101002275005000010000 0400000000002003   
0601GEA4N       20220101002285005000010000 0400000000002010   
0601GEA4N       20220101002295005000010000 0400000000002018   
0601GEA4N       20220101002305005000010000 0400000000002025   
0601GEA4N       20220101002315005000010000 0400000000002032   
0601GEA4N       20220101002325005000010000 0400000000002040   
0601GEA4N       20220101002335005000010000 0400000000002047   
0601GEA4N       20220101002345005000010000 0400000000002054   
0601GEA4N       20220101002355005000010000 0400000000002061   
0601GEA4N       20220101002365005000010000 0400000000002068   
0601GEA4N       20220101002375005000010000 0400000000002076   
0601GEA4N       20220101002385005000010000 0400000000002083   
0601GEA4N       20220101002395005000010000 0400000000002090   
0601GEA4N       20220101002405005000010000 0400000000002097   
0601GEA4N       20220101002415005000010000 0400000000002104   
0601GEA4N       20220101002425005000010000 0400000000002111   
0601GEA4N       20220101002435005000010000 0400000000002118   
0601GEA4N       20220101002445005000010000 0400000000002125   
0601GEA4N       20220101002455005000010000 0400000000002132   
0601GEA4N       20220101002465005000010000 0400000000002139   
0601GEA4N       20220101002475005000010000 0400000000002145   
0601GEA4N       20220101002485005000010000 0400000000002152   
0601GEA4N       20220101002495005000010000 0400000000002158   
0601GEA4N       20220101002505005000010000 0400000000002165   
0601GEA4N       20220101002515005000010000 0400000000002171   
0601GEA4N       20220101002525005000010000 0400000000002178   
0601GEA4N       20220101002535005000010000 0400000000002184   
0601GEA4N       20220101002545005000010000 0400000000002191   
0601GEA4N       20220101002555005000010000 0400000000002197   
0601GEA4N       20220101002565005000010000 0400000000002203   
0601GEA4N       20220101002575005000010000 0400000000002209   
0601GEA4N       20220101002585005000010000 0400000000002215   
0601GEA4N       20220101002595005000010000 0400000000002221   
0601GEA4N       20220101002605005000010000 0400000000002228   
0601GEA4N       20220101002615005000010000 0400000000002233   
0601GEA4N       20220101002625005000010000 0400000000002240   
0601GEA4N       20220101002635005000010000 0400000000002245   
0601GEA4N       20220101002645005000010000 0400000000002251   
0601GEA4N       20220101002655005000010000 0400000000002257   
0601GEA4N       20220101002665005000010000 0400000000002263   
0601GEA4N       20220101002675005000010000 0400000000002269   
0601GEA4N       20220101002685005000010000 0400000000002274   
0601GEA4N       20220101002695005000010000 0400000000002280   
0601GEA4N       20220101002705005000010000 0400000000002285   
0601GEA4N       20220101002715005000010000 0400000000002291   
0601GEA4N       20220101002725005000010000 0400000000002296   
0601GEA4N       20220101002735005000010000 0400000000002302   
0601GEA4N       20220101002745005000010000 0400000000002307   
0601GEA4N       20220101002755005000010000 0400000000002313   
0601GEA4N       20220101002765005000010000 0400000000002318   
0601GEA4N       20220101002775005000010000 0400000000002323   
0601GEA4N       20220101002785005000010000 0400000000002329   
0601GEA4N       20220101002795005000010000 0400000000002334   
0601GEA4N       20220101002805005000010000 0400000000002339   
0601GEA4N       20220101002815005000010000 0400000000002345   
0601GEA4N       20220101002825005000010000 0400000000002350   
0601GEA4N       20220101002835005000010000 0400000000002355   
0601GEA4N       20220101002845005000010000 0400000000002360   
0601GEA4N       20220101002855005000010000 0400000000002365   
0601GEA4N       20220101002865005000010000 0400000000002370   
0601GEA4N       20220101002875005000010000 0400000000002375   
0601GEA4N       20220101002885005000010000 0400000000002380   
0601GEA4N       20220101002895005000010000 0400000000002385   
0601GEA4N       20220101002905005000010000 0400000000002390   
0601GEA4N       20220101002915005000010000 0400000000002394   
0601GEA4N       20220101002925005000010000 0400000000002399   
0601GEA4N       20220101002935005000010000 0400000000002404   
0601GEA4N       20220101002945005000010000 0400000000002408   
0601GEA4N       20220101002955005000010000 0400000000002413   
0601GEA4N       20220101002965005000010000 0400000000002418   
0601GEA4N       20220101002975005000010000 0400000000002422   
0601GEA4N       20220101002985005000010000 0400000000002427   
0601GEA4N       20220101002995005000010000 0400000000002432   
0601GEA4N       20220101003005005000010000 0400000000002436   
0601GEA4N       20220101003015005000010000 0400000000002441   
0601GEA4N       20220101003025005000010000 0400000000002445   
0601GEA4N       20220101003035005000010000 0400000000002450   
0601GEA4N       20220101003045005000010000 0400000000002454   
0601GEA4N       20220101003055005000010000 0400000000002458   
0601GEA4N       20220101003065005000010000 0400000000002463   
0601GEA4N       20220101003075005000010000 0400000000002467   
0601GEA4N       20220101003085005000010000 0400000000002471   
0601GEA4N       20220101003095005000010000 0400000000002476   
0601GEA4N       20220101003105005000010000 0400000000002480   
0601GEA4N       20220101003115005000010000 0400000000002485   
0601GEA4N       20220101003125005000010000 0400000000002489   
0601GEA4N       20220101003135005000010000 0400000000002493   
0601GEA4N       20220101003145005000010000 0400000000002498   
0601GEA4N       20220101003155005000010000 0400000000002502   
0601GEA4N       20220101003165005000010000 0400000000002507   
0601GEA4N       20220101003175005000010000 0400000000002511   
0601GEA4N       20220101003185005000010000 0400000000002515   
0601GEA4N       20220101003195005000010000 0400000000002519   
0601GEA4N       20220101003205005000010000 0400000000002524   
0601GEA4N       20220101003215005000010000 0400000000002528   
0601GEA4N       20220101003225005000010000 0400000000002532   
0601GEA4N       20220101003235005000010000 0400000000002536   
0601GEA4N       20220101003245005000010000 0400000000002540   
0601GEA4N       20220101003255005000010000 0400000000002544   
0601GEA4N       20220101003265005000010000 0400000000002549   
0601GEA4N       20220101003275005000010000 0400000000002553   
0601GEA4N       20220101003285005000010000 0400000000002557   
0601GEA4N       20220101003295005000010000 0400000000002562   
