00GE               20211117                                                                                   
0601GEA0N       20220101000835005000005000 0000000000001622   
0601GEA0N       20220101000840005000005000 0000000000001629   
0601GEA0N       20220101000845005000005000 0000000000001637   
0601GEA0N       20220101000850005000005000 0000000000001644   
0601GEA0N       20220101000855005000005000 0000000000001651   
0601GEA0N       20220101000860005000005000 0000000000001659   
0601GEA0N       20220101000865005000005000 0000000000001667   
0601GEA0N       20220101000870005000005000 0000000000001674   
0601GEA0N       20220101000875005000005000 0000000000001681   
0601GEA0N       20220101000880005000005000 0000000000001688   
0601GEA0N       20220101000885005000005000 0000000000001694   
0601GEA0N       20220101000890005000005000 0000000000001701   
0601GEA0N       20220101000895005000005000 0000000000001708   
0601GEA0N       20220101000900005000005000 0000000000001715   
0601GEA0N       20220101000905005000005000 0000000000001721   
0601GEA0N       20220101000910005000005000 0000000000001728   
0601GEA0N       20220101000915005000005000 0000000000001734   
0601GEA0N       20220101000920005000005000 0000000000001740   
0601GEA0N       20220101000925005000005000 0000000000001747   
0601GEA0N       20220101000930005000005000 0000000000001753   
0601GEA0N       20220101000935005000005000 0000000000001759   
0601GEA0N       20220101000940005000005000 0000000000001765   
0601GEA0N       20220101000945005000005000 0000000000001771   
0601GEA0N       20220101000950005000005000 0000000000001777   
0601GEA0N       20220101000955005000005000 0000000000001783   
0601GEA0N       20220101000960005000005000 0000000000001789   
0601GEA0N       20220101000965005000005000 0000000000001794   
0601GEA0N       20220101000970005000005000 0000000000001800   
0601GEA0N       20220101000975005000005000 0000000000001806   
0601GEA0N       20220101000980005000005000 0000000000001812   
0601GEA0N       20220101000985005000005000 0000000000001817   
0601GEA0N       20220101000990005000005000 0000000000001823   
0601GEA0N       20220101000995005000005000 0000000000001828   
0601GEA0N       20220101001000005000005000 0000000000001834   
0601GEA0N       20220101001005005000005000 0000000000001839   
0601GEA0N       20220101001010005000005000 0000000000001844   
0601GEA0N       20220101001015005000005000 0000000000001849   
0601GEA0N       20220101001020005000005000 0000000000001855   
0601GEA0N       20220101001025005000005000 0000000000001860   
0601GEA0N       20220101001030005000005000 0000000000001865   
0601GEA0N       20220101001035005000005000 0000000000001870   
0601GEA0N       20220101001040005000005000 0000000000001875   
0601GEA0N       20220101001045005000005000 0000000000001880   
0601GEA0N       20220101001050005000005000 0000000000001884   
0601GEA0N       20220101001055005000005000 0000000000001889   
0601GEA0N       20220101001060005000005000 0000000000001894   
0601GEA0N       20220101001065005000005000 0000000000001899   
0601GEA0N       20220101001070005000005000 0000000000001903   
0601GEA0N       20220101001075005000005000 0000000000001908   
0601GEA0N       20220101001080005000005000 0000000000001913   
0601GEA0N       20220101001085005000005000 0000000000001918   
0601GEA0N       20220101001090005000005000 0000000000001923   
0601GEA0N       20220101001095005000005000 0000000000001929   
0601GEA0N       20220101001100005000005000 0000000000001934   
0601GEA0N       20220101001105005000005000 0000000000001940   
0601GEA0N       20220101001110005000005000 0000000000001945   
0601GEA0N       20220101001115005000005000 0000000000001950   
0601GEA0N       20220101001120005000005000 0000000000001955   
0601GEA0N       20220101001125005000005000 0000000000001960   
0601GEA0N       20220101001130005000005000 0000000000001966   
0601GEA0N       20220101001135005000005000 0000000000001971   
0601GEA0N       20220101001140005000005000 0000000000001975   
0601GEA0N       20220101001145005000005000 0000000000001980   
0601GEA0N       20220101001150005000005000 0000000000001985   
0601GEA0N       20220101001155005000005000 0000000000001990   
0601GEA0N       20220101001160005000005000 0000000000001995   
0601GEA0N       20220101001165005000005000 0000000000002000   
0601GEA0N       20220101001170005000005000 0000000000002004   
0601GEA0N       20220101001175005000005000 0000000000002010   
0601GEA0N       20220101001180005000005000 0000000000002014   
0601GEA0N       20220101001185005000005000 0000000000002019   
0601GEA0N       20220101001190005000005000 0000000000002023   
0601GEA0N       20220101001195005000005000 0000000000002028   
0601GEA0N       20220101001200005000005000 0000000000002033   
0601GEA0N       20220101001205005000005000 0000000000002037   
0601GEA0N       20220101001210005000005000 0000000000002041   
0601GEA0N       20220101001215005000005000 0000000000002046   
0601GEA0N       20220101001220005000005000 0000000000002051   
0601GEA0N       20220101001225005000005000 0000000000002055   
0601GEA0N       20220101001230005000005000 0000000000002059   
0601GEA0N       20220101001235005000005000 0000000000002064   
0601GEA0N       20220101001240005000005000 0000000000002069   
0601GEA0N       20220101001245005000005000 0000000000002074   
0601GEA0N       20220101001250005000005000 0000000000002078   
0601GEA0N       20220101001255005000005000 0000000000002083   
0601GEA0N       20220101001260005000005000 0000000000002088   
0601GEA0N       20220101001265005000005000 0000000000002092   
0601GEA0N       20220101001270005000005000 0000000000002097   
0601GEA0N       20220101001275005000005000 0000000000002102   
0601GEA0N       20220101001280005000005000 0000000000002106   
0601GEA0N       20220101001285005000005000 0000000000002111   
0601GEA0N       20220101001290005000005000 0000000000002115   
0601GEA0N       20220101001295005000005000 0000000000002119   
