00LU               20211201                                                                                   
0601LUA0N       20220101000725100000005000 0000000130001163   
0601LUA0N       20220101000730100000005000 0000000130001166   
0601LUA0N       20220101000735100000005000 0000000130001170   
0601LUA0N       20220101000740100000005000 0000000130001173   
0601LUA0N       20220101000745100000005000 0000000130001177   
0601LUA0N       20220101000750100000005000 0000000130001181   
0601LUA0N       20220101000755100000005000 0000000130001184   
0601LUA0N       20220101000760100000005000 0000000130001188   
0601LUA0N       20220101000765100000005000 0000000130001191   
0601LUA0N       20220101000770100000005000 0000000130001195   
0601LUA0N       20220101000775100000005000 0000000130001199   
0601LUA0N       20220101000780100000005000 0000000130001204   
0601LUA0N       20220101000785100000005000 0000000130001209   
0601LUA0N       20220101000790100000005000 0000000130001214   
0601LUA0N       20220101000795100000005000 0000000130001219   
0601LUA0N       20220101000800100000005000 0000000130001224   
0601LUA0N       20220101000805100000005000 0000000130001228   
0601LUA0N       20220101000810100000005000 0000000130001232   
0601LUA0N       20220101000815100000005000 0000000130001239   
0601LUA0N       20220101000820100000005000 0000000130001244   
0601LUA0N       20220101000825100000005000 0000000130001248   
0601LUA0N       20220101000830100000005000 0000000130001253   
0601LUA0N       20220101000835100000005000 0000000130001257   
0601LUA0N       20220101000840100000005000 0000000130001262   
0601LUA0N       20220101000845100000005000 0000000130001266   
0601LUA0N       20220101000850100000005000 0000000130001270   
0601LUA0N       20220101000855100000005000 0000000130001276   
0601LUA0N       20220101000860100000005000 0000000130001280   
0601LUA0N       20220101000865100000005000 0000000130001284   
0601LUA0N       20220101000870100000005000 0000000130001288   
0601LUA0N       20220101000875100000005000 0000000130001292   
0601LUA0N       20220101000880100000005000 0000000130001296   
0601LUA0N       20220101000885100000005000 0000000130001300   
0601LUA0N       20220101000890100000005000 0000000130001304   
0601LUA0N       20220101000895100000005000 0000000130001309   
0601LUA0N       20220101000900100000005000 0000000130001313   
0601LUA0N       20220101000905100000005000 0000000130001317   
0601LUA0N       20220101000910100000005000 0000000130001321   
0601LUA0N       20220101000915100000005000 0000000130001324   
0601LUA0N       20220101000920100000005000 0000000130001328   
0601LUA0N       20220101000925100000005000 0000000130001334   
0601LUA0N       20220101000930100000005000 0000000130001337   
0601LUA0N       20220101000935100000005000 0000000130001342   
0601LUA0N       20220101000940100000005000 0000000130001345   
0601LUA0N       20220101000945100000005000 0000000130001349   
0601LUA0N       20220101000950100000005000 0000000130001352   
0601LUA0N       20220101000955100000005000 0000000130001356   
0601LUA0N       20220101000960100000005000 0000000130001359   
