00SG               20211210                                                                                   
0601SGA0N       20220101000610100000005000 0000000050001109   
0601SGA0N       20220101000615100000005000 0000000050001116   
0601SGA0N       20220101000620100000005000 0000000050001124   
0601SGA0N       20220101000625100000005000 0000000050001132   
0601SGA0N       20220101000630100000005000 0000000050001139   
0601SGA0N       20220101000635100000005000 0000000050001145   
0601SGA0N       20220101000640100000005000 0000000050001152   
0601SGA0N       20220101000645100000005000 0000000050001158   
0601SGA0N       20220101000650100000005000 0000000050001164   
0601SGA0N       20220101000655100000005000 0000000050001170   
0601SGA0N       20220101000660100000005000 0000000050001176   
0601SGA0N       20220101000665100000005000 0000000050001182   
0601SGA0N       20220101000670100000005000 0000000050001188   
0601SGA0N       20220101000675100000005000 0000000050001194   
0601SGA0N       20220101000680100000005000 0000000050001199   
0601SGA0N       20220101000685100000005000 0000000050001205   
0601SGA0N       20220101000690100000005000 0000000050001211   
0601SGA0N       20220101000695100000005000 0000000050001216   
0601SGA0N       20220101000700100000005000 0000000050001221   
0601SGA0N       20220101000705100000005000 0000000050001229   
0601SGA0N       20220101000710100000005000 0000000050001234   
0601SGA0N       20220101000715100000005000 0000000050001240   
0601SGA0N       20220101000720100000005000 0000000050001245   
0601SGA0N       20220101000725100000005000 0000000050001249   
0601SGA0N       20220101000730100000005000 0000000050001254   
0601SGA0N       20220101000735100000005000 0000000050001259   
0601SGA0N       20220101000740100000005000 0000000050001264   
0601SGA0N       20220101000745100000005000 0000000050001269   
0601SGA0N       20220101000750100000005000 0000000050001273   
0601SGA0N       20220101000755100000005000 0000000050001278   
0601SGA0N       20220101000760100000005000 0000000050001282   
0601SGA0N       20220101000765100000005000 0000000050001287   
0601SGA0N       20220101000770100000005000 0000000050001291   
0601SGA0N       20220101000775100000005000 0000000050001296   
0601SGA0N       20220101000780100000005000 0000000050001302   
0601SGA0N       20220101000785100000005000 0000000050001308   
0601SGA0N       20220101000790100000005000 0000000050001314   
0601SGA0N       20220101000795100000005000 0000000050001319   
0601SGA0N       20220101000800100000005000 0000000050001325   
0601SGA0N       20220101000805100000005000 0000000050001331   
0601SGA0N       20220101000810100000005000 0000000050001336   
0601SGA0N       20220101000815100000005000 0000000050001344   
0601SGA0N       20220101000820100000005000 0000000050001349   
0601SGA0N       20220101000825100000005000 0000000050001355   
0601SGA0N       20220101000830100000005000 0000000050001360   
0601SGA0N       20220101000835100000005000 0000000050001365   
0601SGA0N       20220101000840100000005000 0000000050001371   
0601SGA0N       20220101000845100000005000 0000000050001376   
0601SGA0N       20220101000850100000005000 0000000050001381   
0601SGA0N       20220101000855100000005000 0000000050001386   
0601SGA0N       20220101000860100000005000 0000000050001391   
0601SGA0N       20220101000865100000005000 0000000050001396   
0601SGA0N       20220101000870100000005000 0000000050001401   
0601SGA0N       20220101000875100000005000 0000000050001406   
0601SGA0N       20220101000880100000005000 0000000050001411   
0601SGA0N       20220101000885100000005000 0000000050001416   
0601SGA0N       20220101000890100000005000 0000000050001421   
0601SGA0N       20220101000895100000005000 0000000050001427   
0601SGA0N       20220101000900100000005000 0000000050001432   
0601SGA0N       20220101000905100000005000 0000000050001437   
0601SGA0N       20220101000910100000005000 0000000050001441   
0601SGA0N       20220101000915100000005000 0000000050001446   
0601SGA0N       20220101000920100000005000 0000000050001452   
0601SGA0N       20220101000925100000005000 0000000050001457   
0601SGA0N       20220101000930100000005000 0000000050001461   
0601SGA0N       20220101000935100000005000 0000000050001466   
0601SGA0N       20220101000940100000005000 0000000050001472   
0601SGA0N       20220101000945100000005000 0000000050001476   
0601SGA0N       20220101000950100000005000 0000000050001480   
0601SGA0N       20220101000955100000005000 0000000050001484   
0601SGA0N       20220101000960100000005000 0000000050001490   
0601SGA0N       20220101000965100000005000 0000000050001494   
0601SGA0N       20220101000970100000005000 0000000050001498   
0601SGA0N       20220101000975100000005000 0000000050001502   
0601SGA0N       20220101000980100000005000 0000000050001506   
0601SGA0N       20220101000985100000005000 0000000050001512   
0601SGA0N       20220101000990100000005000 0000000050001516   
0601SGA0N       20220101000995100000005000 0000000050001520   
0601SGA0N       20220101001000100000005000 0000000050001524   
0601SGA0N       20220101001005100000005000 0000000050001530   
0601SGA0N       20220101001010100000005000 0000000050001534   
0601SGA0N       20220101001015100000005000 0000000050001537   
0601SGA0N       20220101001020100000005000 0000000050001541   
0601SGA0N       20220101001025100000005000 0000000050001545   
0601SGA0N       20220101001030100000005000 0000000050001550   
0601SGA0N       20220101001035100000005000 0000000050001554   
0601SGA0N       20220101001040100000005000 0000000050001558   
0601SGA0N       20220101001045100000005000 0000000050001562   
0601SGA0N       20220101001050100000005000 0000000050001567   
0601SGA0N       20220101001055100000005000 0000000050001570   
0601SGA0N       20220101001060100000005000 0000000050001574   
0601SGA0N       20220101001065100000005000 0000000050001577   
0601SGA0N       20220101001070100000005000 0000000050001580   
0601SGA0N       20220101001075100000005000 0000000050001585   
0601SGA0N       20220101001080100000005000 0000000050001589   
0601SGA0N       20220101001085100000005000 0000000050001593   
0601SGA0N       20220101001090100000005000 0000000050001597   
0601SGA0N       20220101001095100000005000 0000000050001603   
0601SGA0N       20220101001100100000005000 0000000050001607   
0601SGA0N       20220101001105100000005000 0000000050001611   
0601SGA0N       20220101001110100000005000 0000000050001615   
0601SGA0N       20220101001115100000005000 0000000050001621   
0601SGA0N       20220101001120100000005000 0000000050001625   
0601SGA0N       20220101001125100000005000 0000000050001628   
0601SGA0N       20220101001130100000005000 0000000050001632   
0601SGA0N       20220101001135100000005000 0000000050001636   
0601SGA0N       20220101001140100000005000 0000000050001642   
0601SGA0N       20220101001145100000005000 0000000050001646   
0601SGA0N       20220101001150100000005000 0000000050001649   
0601SGA0N       20220101001155100000005000 0000000050001653   
0601SGA0N       20220101001160100000005000 0000000050001659   
0601SGA0N       20220101001165100000005000 0000000050001662   
0601SGA0N       20220101001170100000005000 0000000050001666   
0601SGA0N       20220101001175100000005000 0000000050001669   
0601SGA0N       20220101001180100000005000 0000000050001673   
0601SGA0N       20220101001185100000005000 0000000050001678   
0601SGA0N       20220101001190100000005000 0000000050001682   
0601SGA0N       20220101001195100000005000 0000000050001685   
0601SGA0N       20220101001200100000005000 0000000050001688   
0601SGA0N       20220101001205100000005000 0000000050001694   
0601SGA0N       20220101001210100000005000 0000000050001697   
0601SGA0N       20220101001215100000005000 0000000050001700   
0601SGA0N       20220101001220100000005000 0000000050001703   
