00VD               20220112                                                                                   
0601VDA0N       20220101000840100000005000 0000000000001569   
0601VDA0N       20220101000845100000005000 0000000000001575   
0601VDA0N       20220101000850100000005000 0000000000001582   
0601VDA0N       20220101000855100000005000 0000000000001588   
0601VDA0N       20220101000860100000005000 0000000000001594   
0601VDA0N       20220101000865100000005000 0000000000001599   
0601VDA0N       20220101000870100000005000 0000000000001606   
0601VDA0N       20220101000875100000005000 0000000000001612   
0601VDA0N       20220101000880100000005000 0000000000001617   
0601VDA0N       20220101000885100000005000 0000000000001623   
0601VDA0N       20220101000890100000005000 0000000000001629   
0601VDA0N       20220101000895100000005000 0000000000001634   
0601VDA0N       20220101000900100000005000 0000000000001641   
0601VDA0N       20220101000905100000005000 0000000000001646   
0601VDA0N       20220101000910100000005000 0000000000001651   
0601VDA0N       20220101000915100000005000 0000000000001657   
0601VDA0N       20220101000920100000005000 0000000000001662   
0601VDA0N       20220101000925100000005000 0000000000001671   
0601VDA0N       20220101000930100000005000 0000000000001677   
0601VDA0N       20220101000935100000005000 0000000000001683   
0601VDA0N       20220101000940100000005000 0000000000001689   
0601VDA0N       20220101000945100000005000 0000000000001696   
0601VDA0N       20220101000950100000005000 0000000000001702   
0601VDA0N       20220101000955100000005000 0000000000001708   
0601VDA0N       20220101000960100000005000 0000000000001713   
0601VDA0N       20220101000965100000005000 0000000000001719   
0601VDA0N       20220101000970100000005000 0000000000001725   
0601VDA0N       20220101000975100000005000 0000000000001730   
0601VDA0N       20220101000980100000005000 0000000000001736   
0601VDA0N       20220101000985100000005000 0000000000001741   
0601VDA0N       20220101000990100000005000 0000000000001747   
0601VDA0N       20220101000995100000005000 0000000000001753   
0601VDA0N       20220101001000100000005000 0000000000001757   
0601VDA0N       20220101001005100000005000 0000000000001763   
0601VDA0N       20220101001010100000005000 0000000000001769   
0601VDA0N       20220101001015100000005000 0000000000001773   
0601VDA0N       20220101001020100000005000 0000000000001779   
0601VDA0N       20220101001025100000005000 0000000000001784   
0601VDA0N       20220101001030100000005000 0000000000001789   
0601VDA0N       20220101001035100000005000 0000000000001796   
0601VDA0N       20220101001040100000005000 0000000000001802   
0601VDA0N       20220101001045100000005000 0000000000001806   
0601VDA0N       20220101001050100000005000 0000000000001811   
0601VDA0N       20220101001055100000005000 0000000000001816   
0601VDA0N       20220101001060100000005000 0000000000001821   
0601VDA0N       20220101001065100000005000 0000000000001825   
0601VDA0N       20220101001070100000005000 0000000000001831   
0601VDA0N       20220101001075100000005000 0000000000001835   
0601VDA0N       20220101001080100000005000 0000000000001840   
